date,count,barangay,crime_type,data_type
2019-01-01,6.0,Barangay 41,Assault,historical
2019-02-01,9.0,Barangay 41,Assault,historical
2019-03-01,0.0,Barangay 41,Assault,historical
2019-04-01,5.0,Barangay 41,Assault,historical
2019-05-01,4.0,Barangay 41,Assault,historical
2019-06-01,5.0,Barangay 41,Assault,historical
2019-07-01,6.0,Barangay 41,Assault,historical
2019-08-01,2.0,Barangay 41,Assault,historical
2019-09-01,4.0,Barangay 41,Assault,historical
2019-10-01,5.0,Barangay 41,Assault,historical
2019-11-01,7.0,Barangay 41,Assault,historical
2019-12-01,5.0,Barangay 41,Assault,historical
2020-01-01,5.0,Barangay 41,Assault,historical
2020-02-01,5.0,Barangay 41,Assault,historical
2020-03-01,5.0,Barangay 41,Assault,historical
2020-04-01,5.0,Barangay 41,Assault,historical
2020-05-01,3.0,Barangay 41,Assault,historical
2020-06-01,7.0,Barangay 41,Assault,historical
2020-07-01,6.0,Barangay 41,Assault,historical
2020-08-01,8.0,Barangay 41,Assault,historical
2020-09-01,4.0,Barangay 41,Assault,historical
2020-10-01,4.0,Barangay 41,Assault,historical
2020-11-01,4.0,Barangay 41,Assault,historical
2020-12-01,3.0,Barangay 41,Assault,historical
2021-01-01,7.0,Barangay 41,Assault,historical
2021-02-01,7.0,Barangay 41,Assault,historical
2021-03-01,4.0,Barangay 41,Assault,historical
2021-04-01,4.0,Barangay 41,Assault,historical
2021-05-01,2.0,Barangay 41,Assault,historical
2021-06-01,5.0,Barangay 41,Assault,historical
2021-07-01,5.0,Barangay 41,Assault,historical
2021-08-01,4.0,Barangay 41,Assault,historical
2021-09-01,5.0,Barangay 41,Assault,historical
2021-10-01,6.0,Barangay 41,Assault,historical
2021-11-01,8.0,Barangay 41,Assault,historical
2021-12-01,7.0,Barangay 41,Assault,historical
2022-01-01,7.0,Barangay 41,Assault,historical
2022-02-01,7.0,Barangay 41,Assault,historical
2022-03-01,2.0,Barangay 41,Assault,historical
2022-04-01,4.0,Barangay 41,Assault,historical
2022-05-01,5.0,Barangay 41,Assault,historical
2022-06-01,11.0,Barangay 41,Assault,historical
2022-07-01,6.0,Barangay 41,Assault,historical
2022-08-01,7.0,Barangay 41,Assault,historical
2022-09-01,5.0,Barangay 41,Assault,historical
2022-10-01,3.0,Barangay 41,Assault,historical
2022-11-01,7.0,Barangay 41,Assault,historical
2022-12-01,9.0,Barangay 41,Assault,historical
2023-01-01,9.0,Barangay 41,Assault,historical
2023-02-01,5.0,Barangay 41,Assault,historical
2023-03-01,7.0,Barangay 41,Assault,historical
2023-04-01,2.0,Barangay 41,Assault,historical
2023-05-01,6.0,Barangay 41,Assault,historical
2023-06-01,11.0,Barangay 41,Assault,historical
2023-07-01,4.0,Barangay 41,Assault,historical
2023-08-01,5.0,Barangay 41,Assault,historical
2023-09-01,5.0,Barangay 41,Assault,historical
2023-10-01,4.0,Barangay 41,Assault,historical
2023-11-01,3.0,Barangay 41,Assault,historical
2023-12-01,7.0,Barangay 41,Assault,historical
2024-01-01,5.0,Barangay 41,Assault,historical
2024-02-01,8.0,Barangay 41,Assault,historical
2024-03-01,3.0,Barangay 41,Assault,historical
2024-04-01,7.0,Barangay 41,Assault,historical
2024-05-01,4.0,Barangay 41,Assault,historical
2024-06-01,6.0,Barangay 41,Assault,historical
2024-07-01,8.0,Barangay 41,Assault,historical
2024-08-01,4.0,Barangay 41,Assault,historical
2024-09-01,6.0,Barangay 41,Assault,historical
2024-10-01,8.0,Barangay 41,Assault,historical
2024-11-01,3.0,Barangay 41,Assault,historical
2024-12-01,8.0,Barangay 41,Assault,historical
2025-01-01,6.499994731646402,Barangay 41,Assault,forecast
2025-02-01,6.833331413648052,Barangay 41,Assault,forecast
2025-03-01,3.499996431170933,Barangay 41,Assault,forecast
2025-04-01,4.500001196568417,Barangay 41,Assault,forecast
2025-05-01,4.0000010113279325,Barangay 41,Assault,forecast
2025-06-01,7.49999981039703,Barangay 41,Assault,forecast
2025-07-01,5.833335147126287,Barangay 41,Assault,forecast
2025-08-01,5.000001255954508,Barangay 41,Assault,forecast
2025-09-01,4.83333530452234,Barangay 41,Assault,forecast
2025-10-01,5.000001896769733,Barangay 41,Assault,forecast
2025-11-01,5.333331898729734,Barangay 41,Assault,forecast
2025-12-01,6.500000733711375,Barangay 41,Assault,forecast
2019-01-01,3.0,Barangay 41,Breaking and Entering,historical
2019-02-01,3.0,Barangay 41,Breaking and Entering,historical
2019-03-01,1.0,Barangay 41,Breaking and Entering,historical
2019-04-01,2.0,Barangay 41,Breaking and Entering,historical
2019-05-01,2.0,Barangay 41,Breaking and Entering,historical
2019-06-01,2.0,Barangay 41,Breaking and Entering,historical
2019-07-01,2.0,Barangay 41,Breaking and Entering,historical
2019-08-01,2.0,Barangay 41,Breaking and Entering,historical
2019-09-01,2.0,Barangay 41,Breaking and Entering,historical
2019-10-01,1.0,Barangay 41,Breaking and Entering,historical
2019-11-01,2.0,Barangay 41,Breaking and Entering,historical
2019-12-01,3.0,Barangay 41,Breaking and Entering,historical
2020-01-01,3.0,Barangay 41,Breaking and Entering,historical
2020-02-01,3.0,Barangay 41,Breaking and Entering,historical
2020-03-01,3.0,Barangay 41,Breaking and Entering,historical
2020-04-01,1.0,Barangay 41,Breaking and Entering,historical
2020-05-01,2.0,Barangay 41,Breaking and Entering,historical
2020-06-01,2.0,Barangay 41,Breaking and Entering,historical
2020-07-01,4.0,Barangay 41,Breaking and Entering,historical
2020-08-01,1.0,Barangay 41,Breaking and Entering,historical
2020-09-01,1.0,Barangay 41,Breaking and Entering,historical
2020-10-01,1.0,Barangay 41,Breaking and Entering,historical
2020-11-01,0.0,Barangay 41,Breaking and Entering,historical
2020-12-01,2.0,Barangay 41,Breaking and Entering,historical
2021-01-01,2.0,Barangay 41,Breaking and Entering,historical
2021-02-01,2.0,Barangay 41,Breaking and Entering,historical
2021-03-01,2.0,Barangay 41,Breaking and Entering,historical
2021-04-01,3.0,Barangay 41,Breaking and Entering,historical
2021-05-01,2.0,Barangay 41,Breaking and Entering,historical
2021-06-01,2.0,Barangay 41,Breaking and Entering,historical
2021-07-01,1.0,Barangay 41,Breaking and Entering,historical
2021-08-01,2.0,Barangay 41,Breaking and Entering,historical
2021-09-01,1.0,Barangay 41,Breaking and Entering,historical
2021-10-01,3.0,Barangay 41,Breaking and Entering,historical
2021-11-01,2.0,Barangay 41,Breaking and Entering,historical
2021-12-01,2.0,Barangay 41,Breaking and Entering,historical
2022-01-01,1.0,Barangay 41,Breaking and Entering,historical
2022-02-01,4.0,Barangay 41,Breaking and Entering,historical
2022-03-01,1.0,Barangay 41,Breaking and Entering,historical
2022-04-01,2.0,Barangay 41,Breaking and Entering,historical
2022-05-01,1.0,Barangay 41,Breaking and Entering,historical
